电信IPTV,#genre#
广东国际,rtsp://183.58.12.204/PLTV/88888905/224/3221227230/10000100000000060000000000990032_0.smil?icpid=88888888
广东嘉佳卡通,rtsp://183.58.12.204/PLTV/88888905/224/3221226972/00000100000000060000000000554906_0.smil?icpid=88888888
广东经济科教,rtsp://183.58.12.204/PLTV/88888905/224/3221227007/00000100000000060000000000554908_0.smil?icpid=88888888
广东经济科教高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227238/10000100000000060000000000987130_0.smil?icpid=88888888
广东经济科教超清,rtsp://183.58.12.204/PLTV/88888905/224/3221227811/10000100000000060000000005076860_0.smil?icpid=88888888
广东南方购物,rtsp://183.58.12.204/PLTV/88888905/224/3221227200/10000100000000060000000000987154_0.smil?icpid=88888888
广东南方卫视,rtsp://183.58.12.204/PLTV/88888905/224/3221226975/00000100000000060000000000554907_0.smil?icpid=88888888
广东少儿,rtsp://183.58.12.204/PLTV/88888905/224/3221226989/00000100000000060000000000554886_0.smil?icpid=88888888
广东体育,rtsp://183.58.12.204/PLTV/88888905/224/3221226934/00000100000000060000000000554903_0.smil?icpid=88888888
广东新闻,rtsp://183.58.12.204/PLTV/88888905/224/3221226969/00000100000000060000000000554905_0.smil?icpid=88888888
广东影视,rtsp://183.58.12.204/PLTV/88888905/224/3221226937/00000100000000060000000000554910_0.smil?icpid=88888888
广东珠江,rtsp://183.58.12.204/PLTV/88888905/224/3221227004/00000100000000060000000000554900_0.smil?icpid=88888888
广东珠江高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229811/10000100000000060000000009467087_0.smil?icpid=88888888
广东珠江超清,rtsp://183.58.12.204/PLTV/88888905/224/3221229854/10000100000000060000000009467088_0.smil?icpid=88888888
广东综艺,rtsp://183.58.12.204/PLTV/88888905/224/3221226940/00000100000000060000000000554911_0.smil?icpid=88888888
湛江综合高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229999/10000100000000060000000010232871_0.smil?icpid=88888888
湛江公共高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229893/10000100000000060000000010232870_0.smil?icpid=88888888
北京卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227018/10000100000000060000000000698843_0.smil?icpid=88888888
东方卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227299/10000100000000060000000001141344_0.smil?icpid=88888888
广西卫视,rtsp://183.58.12.204/PLTV/88888905/224/3221227148/10000100000000060000000000937768_0.smil?icpid=88888888
黑龙江卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227302/10000100000000060000000001141347_0.smil?icpid=88888888
湖北卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227322/10000100000000060000000001141333_0.smil?icpid=88888888
湖南卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227325/10000100000000060000000001141345_0.smil?icpid=88888888
会展频道,rtsp://183.58.12.204/PLTV/88888905/224/3221227224/10000100000000060000000000990026_0.smil?icpid=88888888
江苏卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227027/10000100000000060000000000698853_0.smil?icpid=88888888
江西卫视,rtsp://183.58.12.204/PLTV/88888905/224/3221227134/10000100000000060000000000937803_0.smil?icpid=88888888
金鹰卡通,rtsp://183.58.12.204/PLTV/88888905/224/3221227163/10000100000000060000000000937813_0.smil?icpid=88888888
金鹰纪实高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227916/10000100000000060000000006078790_0.smil?icpid=88888888
金鹰纪实超清,rtsp://183.58.12.204/PLTV/88888905/224/3221227888/10000100000000060000000006099114_0.smil?icpid=88888888
上海纪实高清,rtsp://183.58.12.204/PLTV/88888905/224/3221229872/10000100000000060000000009575047_0.smil??icpid=88888888
卡酷动画,rtsp://183.58.12.204/PLTV/88888905/224/3221227111/10000100000000060000000000937814_0.smil?icpid=88888888
快乐宠物,rtsp://183.58.12.204/PLTV/88888905/224/3221227219/10000100000000060000000000990031_0.smil?icpid=88888888
岭南戏曲,rtsp://183.58.12.204/PLTV/88888905/224/3221227225/10000100000000060000000000990089_0.smil?icpid=88888888
旅游卫视,rtsp://183.58.12.204/PLTV/88888905/224/3221227119/10000100000000060000000000937750_0.smil?icpid=88888888
山东卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227215/10000100000000060000000000988473_0.smil?icpid=88888888
深圳卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227267/10000100000000060000000001141334_0.smil?icpid=88888888
炫动卡通,rtsp://183.58.12.204/PLTV/88888905/224/3221227212/10000100000000060000000000987175_0.smil?icpid=88888888
移动频道,rtsp://183.58.12.204/PLTV/88888905/224/3221227209/10000100000000060000000000987164_0.smil?icpid=88888888
英语辅导,rtsp://183.58.12.204/PLTV/88888905/224/3221227236/10000100000000060000000000990116_0.smil?icpid=88888888
浙江卫视高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227296/10000100000000060000000001141335_0.smil?icpid=88888888
欧洲足球,rtsp://183.58.12.204/PLTV/88888905/224/3221227271/10000100000000060000000000990027_0.smil?icpid=88888888
足球,rtsp://183.58.12.204/PLTV/88888905/224/3221229835/10000100000000060000000009130764_0.smil?icpid=88888888
风云足球,rtsp://183.58.12.204/PLTV/88888905/224/3221228348/10000100000000060000000007969164_0.smil?icpid=88888888
风云音乐,rtsp://183.58.12.204/PLTV/88888905/224/3221228273/10000100000000060000000007935449_0.smil?icpid=88888888
风云剧场,rtsp://183.58.12.204/PLTV/88888905/224/3221228276/10000100000000060000000007935448_0.smil?icpid=88888888
怀旧剧场,rtsp://183.58.12.204/PLTV/88888905/224/3221228279/10000100000000060000000007781472_0.smil?icpid=88888888
第一剧场,rtsp://183.58.12.204/PLTV/88888905/224/3221228292/10000100000000060000000007781466_0.smil?icpid=88888888
兵器科技,rtsp://183.58.12.204/PLTV/88888905/224/3221228285/10000100000000060000000007781470_0.smil?icpid=88888888
环球奇观,rtsp://183.58.12.204/PLTV/88888905/224/3221228330/10000100000000060000000007935404_0.smil?icpid=88888888
世界地理,rtsp://183.58.12.204/PLTV/88888905/224/3221228270/10000100000000060000000007781464_0.smil?icpid=88888888
IPTV谍战剧场,rtsp://183.58.12.204/PLTV/88888905/224/3221227158/10000100000000060000000000937867_0.smil?icpid=88888888
IPTV相声小品,rtsp://183.58.12.204/PLTV/88888905/224/3221227135/10000100000000060000000000937845_0.smil?icpid=88888888
IPTV野外,rtsp://183.58.12.204/PLTV/88888905/224/3221227190/10000100000000060000000000937868_0.smil?icpid=88888888
IPTV法治,rtsp://183.58.12.204/PLTV/88888905/224/3221227155/10000100000000060000000000937846_0.smil?icpid=88888888
IPTV3＋,rtsp://183.58.12.204/PLTV/88888905/224/3221227024/10000100000000060000000000698849_0.smil?icpid=88888888
IPTV5＋高清,rtsp://183.58.12.204/PLTV/88888905/224/3221227991/10000100000000060000000006877797_0.smil?icpid=88888888
IPTV6＋,rtsp://183.58.12.204/PLTV/88888905/224/3221227021/10000100000000060000000000698846_0.smil?icpid=88888888
IPTV8＋,rtsp://183.58.12.204/PLTV/88888905/224/3221227012/10000100000000060000000000698838_0.smil?icpid=88888888
经典电影,rtsp://183.58.12.204/PLTV/88888905/224/3221227204/10000100000000060000000000987156_0.smil?icpid=88888888
热播剧场,rtsp://183.58.12.204/PLTV/88888905/224/3221227203/10000100000000060000000000987157_0.smil?icpid=88888888
少儿动画,rtsp://183.58.12.204/PLTV/88888905/224/3221227070/10000100000000060000000000698839_0.smil?icpid=88888888
极k影视-测试,rtsp://183.58.12.204/PLTV/88888905/224/3221228037/10000100000000060000000006912177_0.smil?icpid=88888888
极K精选-测试,rtsp://183.58.12.204/PLTV/88888905/224/3221228304/10000100000000060000000008188821_0.smil?icpid=88888888
精选4k频道1,rtsp://183.58.12.204/PLTV/88888905/224/3221228307/10000100000000060000000008189136_0.smil?icpid=88888888
精选4k频道2,rtsp://183.58.12.204/PLTV/88888905/224/3221228179/10000100000000060000000008189131_0.smil?icpid=88888888
精选4k频道3,rtsp://183.58.12.204/PLTV/88888905/224/3221229891/10000100000000060000000009714024_0.smil?icpid=88888888
4k测试频道8,rtsp://183.58.12.204/PLTV/88888905/224/3221229735/10000100000000060000000008711633_0.smil?icpid=88888888
爱上4K,rtsp://183.58.12.204/PLTV/88888905/224/3221227997/10000100000000060000000006912176_0.smil?icpid=88888888
PPTV-3,rtsp://183.58.12.204/PLTV/88888905/224/3221228072/10000100000000060000000007150362_0.smil?icpid=88888888
PPTV-4,rtsp://183.58.12.204/PLTV/88888905/224/3221228020/10000100000000060000000007150361_0.smil?icpid=88888888
粤TV-粤荟萃,rtsp://183.58.12.204/PLTV/88888905/224/3221228100/10000100000000060000000007150280_0.smil?icpid=88888888
CHC高清电影,rtsp://183.59.156.50/PLTV/88888905/224/3221230008/10000100000000060000000010481261_0.smil?icpid=88888888
CHC动作电影,http://125.210.152.18:9090/live/JTYYHD_H265.m3u8
CHC家庭影院,http://125.210.152.18:9090/live/DZDYHD_H265.m3u8




广州网课,#genre#
广州课堂一年级(高清),rtsp://183.58.12.204/PLTV/88888905/224/3221229946/10000100000000060000000010728102_0.smil?icpid=88888888
广州课堂二年级(高清),rtsp://183.58.12.204/PLTV/88888905/224/3221229955/10000100000000060000000010728103_0.smil?icpid=88888888
广州课堂三年级(高清),rtsp://183.58.12.204/PLTV/88888905/224/3221229973/10000100000000060000000010731671_0.smil?icpid=88888888
广州课堂四年级(高清),rtsp://183.58.12.204/PLTV/88888905/224/3221229922/10000100000000060000000010731670_0.smil?icpid=88888888
广州课堂五年级(高清),rtsp://183.58.12.204/PLTV/88888905/224/3221229961/10000100000000060000000010728949_0.smil?icpid=88888888
广州课堂六年级(高清),rtsp://183.58.12.204/PLTV/88888905/224/3221229876/10000100000000060000000010728950_0.smil?icpid=88888888





广东有线代理,#genre#
CCTV-1HD,http://www.zgrqq.top/utv.php?id=CCTV1HD_7000
CCTV-2HD,http://www.zgrqq.top/utv.php?id=CCTV2HD_7000
CCTV-3HD,http://www.zgrqq.top/utv.php?id=CCTV3HD_7000
CCTV-5HD,http://www.zgrqq.top/utv.php?id=CCTV5HD_7000
CCTV-5+HD,http://www.zgrqq.top/utv.php?id=CCTV5plusHD_7000
CCTV-6HD,http://27.36.116.229:7074/AAA/aaa?t=&pid=&cid=312&u=13302594676&p=10&l=001&d=123456&n=CCTV6HD_7000&v=2
CCTV-7HD,http://www.zgrqq.top/utv.php?id=CCTV7HD_7000
CCTV-8HD,http://www.zgrqq.top/utv.php?id=CCTV8HD_7000
CCTV-9HD,http://www.zgrqq.top/utv.php?id=CCTV9HD_7000
CCTV-10HD,http://www.zgrqq.top/utv.php?id=CCTV10HD_7000
CCTV-12HD,http://www.zgrqq.top/utv.php?id=CCTV12HD_7000
CCTV-14HD,http://www.zgrqq.top/utv.php?id=CCTV14HD_7000
广东卫视HD,http://www.zgrqq.top/utv.php?id=guangdongHD_7000
广东体育HD,http://www.zgrqq.top/utv.php?id=gdsportsHD_7000
梅州一套,http://www.zgrqq.top/utv.php?id=meizhouyitao_1500
梅州二套,http://www.zgrqq.top/utv.php?id=meizhouertao_1500
广东珠江,http://www.zgrqq.top/utv.php?id=gdzhujiang_1500
广东公共,http://www.zgrqq.top/utv.php?id=gdpublic_1500
广东新闻,http://www.zgrqq.top/utv.php?id=gdnews_1500
广东体育,http://www.zgrqq.top/utv.php?id=gdsports_1500
南方卫视,http://www.zgrqq.top/utv.php?id=gdnanfang_1500
广东经视,http://www.zgrqq.top/utv.php?id=GDjingjikejiaoHD_3000
广东综艺,http://www.zgrqq.top/utv.php?id=gdzongyi_1500
广东影视,http://www.zgrqq.top/utv.php?id=gdyingshi_1500
广东少儿,http://www.zgrqq.top/utv.php?id=gdshaoer_1500
广东房产,http://www.zgrqq.top/utv.php?id=fangchan_1500
广东经济HD,http://www.zgrqq.top/utv.php?id=GDjingjikejiaoHD_7000
珠江电影,http://www.zgrqq.top/utv.php?id=zjfilms_1500
现代教育,http://www.zgrqq.top/utv.php?id=xiandaijiaoyu_1500
岭南戏曲,http://www.zgrqq.top/utv.php?id=lingnanxiqu_1500
广州综合,http://www.zgrqq.top/utv.php?id=guangzhou_1500
广州新闻,http://www.zgrqq.top/utv.php?id=gznews_1500
广州经济,http://www.zgrqq.top/utv.php?id=gzeconomic_1500
广州生活,http://www.zgrqq.top/utv.php?id=gzlife_1500
广州竞赛,http://www.zgrqq.top/utv.php?id=gzcompetition_1500
广州影视,http://www.zgrqq.top/utv.php?id=gzfilms_1500
广州少儿,http://www.zgrqq.top/utv.php?id=gzchild_1500
TVB明珠台,http://www.zgrqq.top/utv.php?id=xgmingzhu_1500
TVB翡翠台,http://www.zgrqq.top/utv.php?id=xgfeicui_1500
凤凰中文,http://www.zgrqq.top/utv.php?id=fhzw_1500
星空卫视,http://www.zgrqq.top/utv.php?id=xingkong_1500
CCTV-1,http://www.zgrqq.top/utv.php?id=CCTV1_1500
CCTV-2,http://www.zgrqq.top/utv.php?id=CCTV2_1500
CCTV-3,http://www.zgrqq.top/utv.php?id=CCTV3_1500
CCTV-4,http://www.zgrqq.top/utv.php?id=CCTV4_1500
CCTV-5,http://www.zgrqq.top/utv.php?id=CCTV5_1500
CCTV-6,http://www.zgrqq.top/utv.php?id=CCTV6_1500
CCTV-7,http://www.zgrqq.top/utv.php?id=CCTV7_1500
CCTV-8,http://www.zgrqq.top/utv.php?id=CCTV8_1500
CCTV-9,http://www.zgrqq.top/utv.php?id=CCTV9_1500
CCTV-10,http://www.zgrqq.top/utv.php?id=CCTV10_1500
CCTV-11,http://www.zgrqq.top/utv.php?id=CCTV11_1500
CCTV-12,http://www.zgrqq.top/utv.php?id=CCTV12_1500
CCTV-13,http://www.zgrqq.top/utv.php?id=CCTV13_1500
CCTV-14,http://www.zgrqq.top/utv.php?id=CCTV14_1500
CCTV-15,http://www.zgrqq.top/utv.php?id=CCTV15music_1500
深圳卫视HD,http://www.zgrqq.top/utv.php?id=shenzhenHD_7000
东方卫视HD,http://www.zgrqq.top/utv.php?id=dongfangHD_7000
北京卫视HD,http://www.zgrqq.top/utv.php?id=beijingHD_7000
湖南卫视HD,http://www.zgrqq.top/utv.php?id=hunanHD_7000
浙江卫视HD,http://www.zgrqq.top/utv.php?id=zhejiangHD_7000
四川卫视HD,http://www.zgrqq.top/utv.php?id=sichuanHD_7000
江苏卫视HD,http://www.zgrqq.top/utv.php?id=jiangsuHD_7000
重庆卫视HD,http://www.zgrqq.top/utv.php?id=chongqingHD_7000
贵州卫视HD,http://www.zgrqq.top/utv.php?id=guizhouHD_7000
河北卫视HD,http://www.zgrqq.top/utv.php?id=hebeiHD_7000
辽宁卫视HD,http://www.zgrqq.top/utv.php?id=liaoningHD_7000
天津卫视HD,http://www.zgrqq.top/utv.php?id=tianjinHD_7000
山东卫视HD,http://www.zgrqq.top/utv.php?id=shandongHD_7000
湖北卫视HD,http://www.zgrqq.top/utv.php?id=hubeiHD_7000
安徽卫视HD,http://www.zgrqq.top/utv.php?id=anhuiHD_7000
黑龙江卫视HD,http://www.zgrqq.top/utv.php?id=heilongjiangHD_7000
DOX4K,http://www.zgrqq.top/utv.php?id=dox4k_16000
天华4K,http://www.zgrqq.top/utv.php?id=tianhua4k_16000
自办4K,http://www.zgrqq.top/utv.php?id=ziban4k_16000
极K纪录,http://www.zgrqq.top/utv.php?id=jikjilu_16000
极K测试,http://www.zgrqq.top/utv.php?id=jikceshi_30000
广东影视4K,http://www.zgrqq.top/utv.php?id=gdyingshi4k_30000
广东综艺4K,http://www.zgrqq.top/utv.php?id=GDZYHD4K_38000
DOX院线HD,http://www.zgrqq.top/utv.php?id=DOXyuanxianHD_7000
DOX雅趣HD,http://www.zgrqq.top/utv.php?id=DOXhanliuHD_7000
DOX怡家HD,http://www.zgrqq.top/utv.php?id=DOXyijiaHD_7000
DOX英伦HD,http://www.zgrqq.top/utv.php?id=DOXyinglunHD_7000
DOX新艺HD,http://www.zgrqq.top/utv.php?id=DOXxinyiHD_7000
DOX新知HD,http://www.zgrqq.top/utv.php?id=DOXxinzhiHD_7000
DOX映画HD,http://www.zgrqq.top/utv.php?id=DOXyinghuaHD_7000
DOX剧场HD,http://www.zgrqq.top/utv.php?id=DOXjuchangHD_7000
新视觉HD,http://www.zgrqq.top/utv.php?id=xinshijueHD_7000
全纪实HD,http://www.zgrqq.top/utv.php?id=quanjishiHD_7000
求索纪录HD,http://www.zgrqq.top/utv.php?id=QSJLHD_7000
求索科学HD,http://www.zgrqq.top/utv.php?id=qiusuokexueHD_7000
求索动物HD,http://www.zgrqq.top/utv.php?id=QSDWHD_7000
求索生活HD,http://www.zgrqq.top/utv.php?id=QSSHHD_7000
高清探索HD,http://www.zgrqq.top/utv.php?id=searchHD_7000
高清影院HD,http://www.zgrqq.top/utv.php?id=FilmsHD_7000
高清剧场HD,http://www.zgrqq.top/utv.php?id=TheaterHD_7000
高清综合HD,http://www.zgrqq.top/utv.php?id=zongheHD_7000
高清演示HD,http://www.zgrqq.top/utv.php?id=HDChanneldemo_7000
粤语高清HD,http://www.zgrqq.top/utv.php?id=yueyuHD_7000
劲爆体育HD,http://www.zgrqq.top/utv.php?id=jinbaotiyuHD_7000
欢笑剧场HD,http://www.zgrqq.top/utv.php?id=huanxiaojuchangHD_7000
魅力音乐HD,http://www.zgrqq.top/utv.php?id=meiliyinyueHD_7000
CETV-1,http://www.zgrqq.top/utv.php?id=CETV-1_1500
CGTN国际,http://www.zgrqq.top/utv.php?id=CCTV15news_1500
CCTV老故事,http://www.zgrqq.top/utv.php?id=laogushi_1500
CCTV风云剧场,http://www.zgrqq.top/utv.php?id=fengyunjuchang_1500
CCTV风云足球,http://www.zgrqq.top/utv.php?id=fengyunzuqiu_1500
CCTV风云音乐,http://www.zgrqq.top/utv.php?id=fengyunyinyue_1500
CCTV怀旧剧场,http://www.zgrqq.top/utv.php?id=huaijiujuchang_1500
CCTV世界地理,http://www.zgrqq.top/utv.php?id=shijiedili_1500
CCTV第一剧场,http://www.zgrqq.top/utv.php?id=diyijuchang_1500
CCTV发现之旅,http://www.zgrqq.top/utv.php?id=faxianzhilv_1500
CCTV女性时尚,http://www.zgrqq.top/utv.php?id=nvxingshishang_1500
CCTV央视精品,http://www.zgrqq.top/utv.php?id=yangshijingpin_1500
CCTV卫生健康,http://www.zgrqq.top/utv.php?id=weishengjiankang_1500
CCTV电视指南,http://www.zgrqq.top/utv.php?id=dianshizhinan_1500
CHC高清电影HD,http://www.zgrqq.top/utv.php?id=CHCHD_7000
CHC家庭影院,http://www.zgrqq.top/utv.php?id=CHChometheatre_1500
CHC动作电影,http://www.zgrqq.top/utv.php?id=CHCactionmovie_1500
MTV,http://www.zgrqq.top/utv.php?id=MTV_1500
DOXTV,http://www.zgrqq.top/utv.php?id=DOXTV_1500
广东卫视,http://www.zgrqq.top/utv.php?id=guangdong_1500
深圳卫视,http://www.zgrqq.top/utv.php?id=shenzhen_1500
东方卫视,http://www.zgrqq.top/utv.php?id=dongfang_1500
北京卫视,http://www.zgrqq.top/utv.php?id=beijing_1500
湖南卫视,http://www.zgrqq.top/utv.php?id=hunan_1500
浙江卫视,http://www.zgrqq.top/utv.php?id=zhejiang_1500
江苏卫视,http://www.zgrqq.top/utv.php?id=jiangsu_1500
安徽卫视,http://www.zgrqq.top/utv.php?id=anhui_1500
天津卫视,http://www.zgrqq.top/utv.php?id=tianjin_1500
山东卫视,http://www.zgrqq.top/utv.php?id=shandong_1500
四川卫视,http://www.zgrqq.top/utv.php?id=sichuan_1500
江西卫视,http://www.zgrqq.top/utv.php?id=jiangxi_1500
重庆卫视,http://www.zgrqq.top/utv.php?id=chongqing_1500
云南卫视,http://www.zgrqq.top/utv.php?id=yunnan_1500
贵州卫视,http://www.zgrqq.top/utv.php?id=guizhou_1500
新疆卫视,http://www.zgrqq.top/utv.php?id=xinjiang_1500
河南卫视,http://www.zgrqq.top/utv.php?id=henan_1500
东南卫视,http://www.zgrqq.top/utv.php?id=dongnan_1500
辽宁卫视,http://www.zgrqq.top/utv.php?id=liaoning_1500
山西卫视,http://www.zgrqq.top/utv.php?id=shanxi_1500
河北卫视,http://www.zgrqq.top/utv.php?id=hebei_1500
陕西卫视,http://www.zgrqq.top/utv.php?id=shanxi2_1500
兵团卫视,http://www.zgrqq.top/utv.php?id=bingtuan_1500
湖北卫视,http://www.zgrqq.top/utv.php?id=hubei_1500
内蒙古卫视,http://www.zgrqq.top/utv.php?id=neimenggu_1500
黑龙江卫视,http://www.zgrqq.top/utv.php?id=heilongjiang_1500
汕头一套HD,http://www.zgrqq.top/utv.php?id=shantouyitaogaoqing_4500
汕头二套HD,http://www.zgrqq.top/utv.php?id=shantouertaogaoqing_4500
汕头三套HD,http://www.zgrqq.top/utv.php?id=shantousantaogaoqing_4500
南海综合,http://www.zgrqq.top/utv.php?id=nanhaitai_2000
顺德综合,http://www.zgrqq.top/utv.php?id=shundetai_2000
新会综合,http://www.zgrqq.top/utv.php?id=xinhui_1500
佛山综合,http://www.zgrqq.top/utv.php?id=foshannews_1500
佛山公共,http://www.zgrqq.top/utv.php?id=foshanyingshi_1500
湛江综合,http://www.zgrqq.top/utv.php?id=zhanjiangzonghe_1500
湛江公共,http://www.zgrqq.top/utv.php?id=zhanjianggongong_1500
韶关综合,http://www.zgrqq.top/utv.php?id=shaoguanzonghe_1500
韶关公共,http://www.zgrqq.top/utv.php?id=shaoguangonggong_1500
博罗经典,http://www.zgrqq.top/utv.php?id=boluojingdian_1500
博罗综合,http://www.zgrqq.top/utv.php?id=boluozonghe_1500
云浮一套,http://www.zgrqq.top/utv.php?id=yunfuyitao_1500
云浮二套,http://www.zgrqq.top/utv.php?id=yunfuertao_1500
珠海一套,http://www.zgrqq.top/utv.php?id=zhuhaiyitao_1500
珠海二套,http://www.zgrqq.top/utv.php?id=zhuhaiertao_1500
潮州一套,http://www.zgrqq.top/utv.php?id=chaozhouyitao_1500
潮州二套,http://www.zgrqq.top/utv.php?id=chaozhouertao_1500
东莞一套,http://www.zgrqq.top/utv.php?id=dongguanyitao_1500
东莞二套,http://www.zgrqq.top/utv.php?id=dongguanertao_1500
江门一套,http://www.zgrqq.top/utv.php?id=jiangmenyitao_1500
江门二套,http://www.zgrqq.top/utv.php?id=jiangmenertao_1500
中山一套,http://www.zgrqq.top/utv.php?id=zhongshanyitao_1500
中山二套,http://www.zgrqq.top/utv.php?id=zhongshanertao_1500
河源一套,http://www.zgrqq.top/utv.php?id=heyuanyitao_1500
河源二套,http://www.zgrqq.top/utv.php?id=heyuanertao_1500
肇庆一套,http://www.zgrqq.top/utv.php?id=zhaoqingyitao_1500
